address,price,size,date_sold,sqm_price,area,percent_increase
Völundsgatan 7,2775000,"1 rum, 24 m²",2021-02-11,115 600 kr/m²,"Lägenhet, Vasastan",+15.9 %
Karlbergsvägen 32B,4000000,"1 rum, 34 m²",2021-02-10,117 600 kr/m²,"Lägenhet, Odenplan",+25.2 %
Sveavägen 136,8200000,"3 rum, 80 m²",2021-02-10,102 500 kr/m²,"Lägenhet, Vasastan",+12.4 %
Västmannagatan 44,3400000,"1 rum, 29 m²",2021-02-10,117 200 kr/m²,"Lägenhet, Vasastan",+13.5 %
Norrbackagatan 46,3960000,"1 rum, 37 m²",2021-02-10,107 000 kr/m²,"Lägenhet, Vasastan",+13.3 %
Birger Jarlsgatan 104K,4600000,"2 rum, 45 m²",2021-02-10,102 200 kr/m²,"Lägenhet, Östermalm",+18.9 %
Upplandsgatan 63A,8600000,"3 rum, 68 m²",2021-02-10,126 500 kr/m²,"Lägenhet, Odenplan",+15.4 %
Sigtunagatan 19,6800000,"2 rum, 56 m²",2021-02-10,121 400 kr/m²,"Lägenhet, Vasastan",+22.0 %
Sveavägen 87,13350000,"4 rum, 120 m²",2021-02-10,111 300 kr/m²,"Lägenhet, Vasastan",+16.1 %
Hagagatan 38,5325000,"2 rum, 54 m²",2021-02-10,98 600 kr/m²,"Lägenhet, Vasastan - Odenplan",+6.6 %
Hagagatan 10A,9285000,"3 rum, 70 m²",2021-02-10,132 600 kr/m²,"Lägenhet, Bolån Samarbete",+33.6 %
Västmannagatan 52,11550000,"5 rum, 121 m²",2021-02-13,95 500 kr/m²,"Lägenhet, Vasastan",+7.0 %
Frejgatan 20,4900000,"2½ rum, 48 m²",2021-02-13,102 100 kr/m²,"Lägenhet, Vasastan",+9.0 %
Lokstallsgatan 6,3650000,"1½ rum, 39 m²",2021-02-13,93 600 kr/m²,"Lägenhet, Vasastan",+9.0 %
Torsplan 10,9700000,"4 rum, 96 m²",2021-02-13,101 000 kr/m²,"Lägenhet, Vasastan",-2.5 %
Västmannagatan 84,8600000,"3 rum, 72½ m²",2021-02-12,118 300 kr/m²,"Lägenhet, Vasastan",+18.6 %
Ynglingagatan 25,6560000,"2½ rum, 71 m²",2021-02-12,92 400 kr/m²,"Lägenhet, Vasastan",+31.3 %
Gästrikegatan 20,6900000,"2 rum, 55½ m²",2021-02-12,124 500 kr/m²,"Lägenhet, Vasastan - Vasaparken",+15.1 %
Gästrikegatan 12,6300000,"2 rum, 63 m²",2021-02-12,100 000 kr/m²,"Lägenhet, Vasastan",+16.8 %
Sankt Eriksgatan 65,9350000,"3 rum, 85 m²",2021-02-12,110 000 kr/m²,"Lägenhet, Vasastan",+16.9 %
Vulcanusgatan 13,6600000,"2 rum, 61 m²",2021-02-12,108 200 kr/m²,"Lägenhet, Vasastan",+20.1 %
Hälsingegatan 51,4195000,"1½ rum, 35 m²",2021-02-12,119 900 kr/m²,"Lägenhet, Hagastaden",+/-0.0 %
Tegnérgatan 55A,4325000,"2 rum, 35 m²",2021-02-12,123 600 kr/m²,"Lägenhet, Vasastan",+31.3 %
Frejgatan 37,6050000,"2 rum, 72 m²",2021-02-12,84 000 kr/m²,"Lägenhet, Vasastan",+10.1 %
Torsplan 8,6440000,"2 rum, 63 m²",2021-02-12,102 200 kr/m²,"Lägenhet, Vasastan",-0.9 %
Ruddammsvägen 6,4600000,"2 rum, 52 m²",2021-02-12,88 500 kr/m²,"Lägenhet, Östermalm",—
Hagagatan 14,9600000,"3 rum, 81 m²",2021-02-11,118 500 kr/m²,"Lägenhet, Vasastan",+18.5 %
Dalagatan 40A,7650000,"2 rum, 62 m²",2021-02-11,123 400 kr/m²,"Lägenhet, Vasastan",+13.3 %
Gävlegatan 26,4500000,"2 rum, 44 m²",2021-02-11,102 300 kr/m²,"Lägenhet, Hagastaden Vasastan",+12.6 %
Torsgatan 42D,4950000,"2 rum, 43½ m²",2021-02-11,113 800 kr/m²,"Lägenhet, Vasastan",+12.6 %
Idungatan 14,9480000,"3 rum, 86 m²",2021-02-11,110 200 kr/m²,"Lägenhet, Vasastan",+18.6 %
Sankt Eriksgatan 85B,4450000,"2 rum, 36 m²",2021-02-11,123 600 kr/m²,"Lägenhet, Sankt Eriksplan",+17.3 %
Hagagatan 17M,7200000,"3 rum, 78 m²",2021-02-11,92 300 kr/m²,"Lägenhet, Vasastan",+5.1 %
Döbelnsgatan 60,3410000,"1 rum, 31 m²",2021-02-11,110 000 kr/m²,"Lägenhet, Vasastan",+13.9 %
Vanadisvägen 4I,3900000,"1½ rum, 41 m²",2021-02-11,95 100 kr/m²,"Lägenhet, Vasastan",+4.0 %
Völundsgatan 7,2775000,"1 rum, 24 m²",2021-02-11,115 600 kr/m²,"Lägenhet, Vasastan",+15.9 %
Karlbergsvägen 32B,4000000,"1 rum, 34 m²",2021-02-10,117 600 kr/m²,"Lägenhet, Odenplan",+25.2 %
Sveavägen 136,8200000,"3 rum, 80 m²",2021-02-10,102 500 kr/m²,"Lägenhet, Vasastan",+12.4 %
Västmannagatan 44,3400000,"1 rum, 29 m²",2021-02-10,117 200 kr/m²,"Lägenhet, Vasastan",+13.5 %
Norrbackagatan 46,3960000,"1 rum, 37 m²",2021-02-10,107 000 kr/m²,"Lägenhet, Vasastan",+13.3 %
Birger Jarlsgatan 104K,4600000,"2 rum, 45 m²",2021-02-10,102 200 kr/m²,"Lägenhet, Östermalm",+18.9 %
Upplandsgatan 63A,8600000,"3 rum, 68 m²",2021-02-10,126 500 kr/m²,"Lägenhet, Odenplan",+15.4 %
Sigtunagatan 19,6800000,"2 rum, 56 m²",2021-02-10,121 400 kr/m²,"Lägenhet, Vasastan",+22.0 %
Sveavägen 87,13350000,"4 rum, 120 m²",2021-02-10,111 300 kr/m²,"Lägenhet, Vasastan",+16.1 %
Hagagatan 38,5325000,"2 rum, 54 m²",2021-02-10,98 600 kr/m²,"Lägenhet, Vasastan - Odenplan",+6.6 %
Hagagatan 10A,9285000,"3 rum, 70 m²",2021-02-10,132 600 kr/m²,"Lägenhet, Bolån Samarbete",+33.6 %
Frejgatan 19A,3600000,"1 rum, 31 m²",2021-02-10,116 100 kr/m²,"Lägenhet, Vasastan",+14.3 %
Dalagatan 86F,5320000,"2 rum, 49 m²",2021-02-10,108 600 kr/m²,"Lägenhet, Vasastan",+21.0 %
Hedemoratäppan 1,3980000,"2 rum, 34 m²",2021-02-10,117 100 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Roslagsgatan 60,4250000,"2 rum, 50½ m²",2021-02-10,84 200 kr/m²,"Lägenhet, Vasastan",+6.4 %
Rörstrandsgatan 9,10500000,"4 rum, 99 m²",2021-02-10,106 100 kr/m²,"Lägenhet, Vasastan Birkastan",+/-0.0 %
Roslagsgatan 54,4850000,"2 rum, 50 m²",2021-02-10,97 000 kr/m²,"Lägenhet, Vasastan",+7.9 %
Västmannagatan 76,8200000,"4 rum, 86 m²",2021-02-10,95 300 kr/m²,"Lägenhet, Vasastan",+8.0 %
Körsbärsvägen 6,3450000,"2 rum, 38 m²",2021-02-10,90 800 kr/m²,"Lägenhet, Östermalm / Vasastan",+15.2 %
Rörstrandsgatan 16,13400000,"4 rum, 97 m²",2021-02-10,138 100 kr/m²,"Lägenhet, Birkastan",+11.7 %
Torsplan 8,9175000,"3 rum, 86 m²",2021-02-10,106 700 kr/m²,"Lägenhet, Vasastan",+8.0 %
Birger Jarlsgatan 83,13000000,"4 rum, 136 m²",2021-02-10,95 600 kr/m²,"Lägenhet, Vasastan - Sibirien",+4.0 %
Holländargatan 33,7175000,"2 rum, 67 m²",2021-02-09,107 100 kr/m²,"Lägenhet, Vasastan",+16.7 %
Vanadisvägen 26B,4120000,"1 rum, 39 m²",2021-02-09,105 600 kr/m²,"Lägenhet, Vasastan",+17.7 %
Sigtunagatan 10A,6500000,"2 rum, 56 m²",2021-02-09,116 100 kr/m²,"Lägenhet, Vasastan",+8.8 %
Sveavägen 89,4490000,"2 rum, 41½ m²",2021-02-09,108 200 kr/m²,"Lägenhet, Vasastan Sibirien",+15.9 %
Sveavägen 122,2625000,"1 rum, 22 m²",2021-02-09,119 300 kr/m²,"Lägenhet, Vasastan",+25.3 %
Frejgatan 23,5170000,"2 rum, 44 m²",2021-02-09,117 500 kr/m²,"Lägenhet, Vasastan",+29.4 %
Rehnsgatan 21A,6455000,"2 rum, 58 m²",2021-02-09,111 300 kr/m²,"Lägenhet, Vasastan",+11.4 %
Roslagsgatan 35A,5375000,"2 rum, 47 m²",2021-02-09,114 400 kr/m²,"Lägenhet, Vasastan",+22.3 %
Döbelnsgatan 16A,13950000,"4 rum, 110 m²",2021-02-09,126 800 kr/m²,"Lägenhet, Vasastan",+18.3 %
Döbelnsgatan 87,5750000,"2 rum, 60 m²",2021-02-09,95 800 kr/m²,"Lägenhet, Vasastan",+4.6 %
Völundsgatan 1,2650000,"1 rum, 24 m²",2021-02-09,110 400 kr/m²,"Lägenhet, Atlasområdet",-1.9 %
Frejgatan 48,7100000,"2 rum, 57 m²",2021-02-08,124 600 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Robert Almströmsgatan 12,4650000,"2 rum, 41 m²",2021-02-08,113 400 kr/m²,"Lägenhet, Vasastan Birkastan",+5.7 %
Birkagatan 25,18000000,"3 rum, 123 m²",2021-02-08,146 300 kr/m²,"Lägenhet, Vasastan",+6.2 %
Gävlegatan 36B,3825000,"2 rum, 35 m²",2021-02-08,109 300 kr/m²,"Lägenhet, Hagastaden Vasastan",—
Norrtullsgatan 63,3600000,"1½ rum, 36 m²",2021-02-08,100 000 kr/m²,"Lägenhet, Vasastan",+20.2 %
Rådmansgatan 75,4050000,"2 rum, 35 m²",2021-02-08,115 700 kr/m²,"Lägenhet, Vasastan",+19.3 %
Vanadisvägen 5,4300000,"2 rum, 46 m²",2021-02-08,93 500 kr/m²,"Lägenhet, Vasastan",+7.6 %
Vulcanusgatan 1,6600000,"3 rum, 60 m²",2021-02-08,110 000 kr/m²,"Lägenhet, Vasastan",+14.8 %
Dalagatan 40A,7625000,"2 rum, 61 m²",2021-02-08,125 000 kr/m²,"Lägenhet, Gårdshus",+17.4 %
Sankt Eriksgatan 72,7250000,"3 rum, 64 m²",2021-02-08,113 300 kr/m²,"Lägenhet, Vasastan",+3.6 %
Robert Almströmsgatan 12,5310000,"2 rum, 40 m²",2021-02-08,132 800 kr/m²,"Lägenhet, Vasastan Birkastan",+36.3 %
Frejgatan 25,4000000,"2 rum, 38 m²",2021-02-07,105 300 kr/m²,"Lägenhet, Vasastan",+14.4 %
Gästrikegatan 14A,4425000,"1 rum, 38 m²",2021-02-07,116 400 kr/m²,"Lägenhet, Vasastan - S:t Eriksplan",—
Västmannagatan 69,2050000,"1 rum, 15 m²",2021-02-07,136 700 kr/m²,"Lägenhet, Vasastan",+10.8 %
Roslagsgatan 26,4550000,"2 rum, 55½ m²",2021-02-07,82 100 kr/m²,"Lägenhet, Vasastan",+13.9 %
Rörstrandsgatan 14A,11500000,"3 rum, 99 m²",2021-02-06,116 200 kr/m²,"Lägenhet, Vasastan",+9.6 %
Ynglingagatan 5,5780000,"2 rum, 68 m²",2021-02-06,85 000 kr/m²,"Lägenhet, Vasastan",+5.3 %
Falugatan 18,2500000,"1 rum, 22½ m²",2021-02-06,111 100 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Döbelnsgatan 67B,7520000,"2 rum, 64 m²",2021-02-05,117 500 kr/m²,"Lägenhet, Vasastan",+25.4 %
Valhallavägen 40,12100000,"4 rum, 114 m²",2021-02-05,106 100 kr/m²,"Lägenhet, Östermalm",+10.5 %
Roslagsgatan 29A,2450000,"1 rum, 24 m²",2021-02-05,102 100 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Valhallavägen 22B,5200000,"2 rum, 48 m²",2021-02-05,108 300 kr/m²,"Lägenhet, Vasastan Östermalm",+22.4 %
Vikingagatan 28,8100000,"3 rum, 73 m²",2021-02-05,111 000 kr/m²,"Lägenhet, Vasastan - Birkastan",+1.3 %
Rådmansgatan 39B,8800000,"3 rum, 81 m²",2021-02-05,108 600 kr/m²,"Lägenhet, Östermalm",+10.1 %
Hagagatan 18,10500000,"3 rum, 100 m²",2021-02-05,105 000 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Roslagsgatan 60,3400000,"2 rum, 32 m²",2021-02-05,106 300 kr/m²,"Lägenhet, Vasastan",+17.2 %
Tre Liljor 2A,7600000,"3 rum, 76 m²",2021-02-04,100 000 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Odengatan 89A,6100000,"2 rum, 48 m²",2021-02-04,127 100 kr/m²,"Lägenhet, Vasastan",+17.3 %
Falugatan 7,8300000,"3 rum, 72 m²",2021-02-04,115 300 kr/m²,"Lägenhet, Röda",+18.7 %
Kungstensgatan 29,7850000,"2½ rum, 66 m²",2021-02-04,118 900 kr/m²,"Lägenhet, Vasastan",+19.0 %
Döbelnsgatan 25,17000000,"4 rum, 132 m²",2021-02-04,128 800 kr/m²,"Lägenhet, Vasastan",—
Birkagatan 19,9500000,"2 rum, 71 m²",2021-02-04,133 800 kr/m²,"Lägenhet, Vasastan",+15.9 %
Rörstrandsgatan 25,4560000,"2 rum, 45 m²",2021-02-04,101 300 kr/m²,"Lägenhet, Vasastan Birkastan",+9.2 %
Norrbackagatan 44,3750000,"2 rum, 32 m²",2021-02-04,117 200 kr/m²,"Lägenhet, Birkastan",+13.8 %
Frejgatan 36A,3100000,"1 rum, 28 m²",2021-02-04,110 700 kr/m²,"Lägenhet, Vasastan",+10.9 %
Valhallavägen 47,2900000,"1 rum, 25 m²",2021-02-04,116 000 kr/m²,"Lägenhet, Vasastan",+26.4 %
Norra Stationsgatan 117,3900000,"2 rum, 40 m²",2021-02-04,97 500 kr/m²,"Lägenhet, Vasastan",+11.6 %
Idungatan 5,6100000,"3 rum, 69 m²",2021-02-04,88 400 kr/m²,"Lägenhet, Vasastan",+11.0 %
Norrbackagatan 16,3775000,"1 rum, 38 m²",2021-02-04,99 300 kr/m²,"Lägenhet, Vasastan",+11.2 %
Birger Jarlsgatan 110,17300000,"6 rum, 150 m²",2021-02-04,115 300 kr/m²,"Lägenhet, Östermalm",+4.9 %
Luntmakargatan 78,9580000,"3 rum, 91 m²",2021-02-04,105 300 kr/m²,"Lägenhet, Vasastan",+6.7 %
Rörstrandsgatan 48A,6100000,"2 rum, 50 m²",2021-02-04,122 000 kr/m²,"Lägenhet, Birkastan",+15.2 %
Birger Jarlsgatan 79,9880000,"3 rum, 86 m²",2021-02-04,114 900 kr/m²,"Lägenhet, Östermalm",—
Gästrikegatan 5,9400000,"3 rum, 85 m²",2021-02-04,110 600 kr/m²,"Lägenhet, Vasastan",+4.5 %
Sankt Eriksgatan 85A,8100000,"2½ rum, 75 m²",2021-02-04,108 000 kr/m²,"Lägenhet, Vasastan",+15.8 %
Dalagatan 90,7250000,"3 rum, 78 m²",2021-02-04,92 900 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Valhallavägen 53,2520000,"1 rum, 28 m²",2021-02-04,90 000 kr/m²,"Lägenhet, Östermalm",+1.0 %
Tegnérlunden 6,4975000,"2 rum, 50 m²",2021-02-04,99 500 kr/m²,"Lägenhet, City",-0.4 %
Kungstensgatan 53A,3500000,"2 rum, 29 m²",2021-02-03,120 700 kr/m²,"Lägenhet, Vasastan",+16.9 %
Birger Jarlsgatan 113A,7550000,"3 rum, 69 m²",2021-02-03,109 400 kr/m²,"Lägenhet, Vasastan",—
Tomtebogatan 29,12100000,"4 rum, 108 m²",2021-02-03,112 000 kr/m²,"Lägenhet, Vasastan",+1.3 %
Vulcanusgatan 3,9800000,"3½ rum, 79 m²",2021-02-03,124 100 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Norrtullsgatan 61,3660000,"2 rum, 30 m²",2021-02-03,122 000 kr/m²,"Lägenhet, Vasastan",+22.2 %
Döbelnsgatan 71A,6900000,"2 rum, 57 m²",2021-02-03,121 100 kr/m²,"Lägenhet, Vasastan",+21.2 %
Dalagatan 30,10700000,"3 rum, 90 m²",2021-02-03,118 900 kr/m²,"Lägenhet, Vasastan - Odenplan",+7.1 %
Odengatan 14,12550000,"4 rum, 102 m²",2021-02-03,123 000 kr/m²,"Lägenhet, Östermalm",+2.4 %
Sonja Kovalevskys gata 11,4800000,"3 rum, 46 m²",2021-02-03,104 300 kr/m²,"Lägenhet, Vasastan",+10.3 %
Drejargatan 7,6400000,"3 rum, 58 m²",2021-02-03,110 300 kr/m²,"Lägenhet, Birkastan",+12.4 %
Västeråsgatan 9,4500000,"2 rum, 66 m²",2021-02-03,68 200 kr/m²,"Lägenhet, Vasastan",+12.6 %
Falugatan 7,8100000,"3 rum, 72 m²",2021-02-02,112 500 kr/m²,"Lägenhet, Vasastan",+15.8 %
Dalagatan 36,6025000,"2 rum, 61 m²",2021-02-02,98 800 kr/m²,"Lägenhet, Vasastan",+20.5 %
Tulegatan 21,7250000,"2 rum, 59 m²",2021-02-02,122 900 kr/m²,"Lägenhet, Vasastan",+20.9 %
Rådmansgatan 70B,4350000,"1½ rum, 35 m²",2021-02-02,124 300 kr/m²,"Lägenhet, Vasastan - Odenplan",+8.9 %
Karlbergsvägen 28,8600000,"4 rum, 68 m²",2021-02-02,126 500 kr/m²,"Lägenhet, Allmän Om Området",+9.6 %
Gästrikegatan 7,9500000,"4 rum, 82 m²",2021-02-02,115 900 kr/m²,"Lägenhet, Vasastan",+11.8 %
Luntmakargatan 63,3700000,"1 rum, 27 m²",2021-02-02,137 000 kr/m²,"Lägenhet, Vasastan",+23.5 %
Markvardsgatan 10,10500000,"3 rum, 80 m²",2021-02-02,131 300 kr/m²,"Lägenhet, Norrmalm",+23.6 %
Vidargatan 1,9670000,"3 rum, 92 m²",2021-02-02,105 100 kr/m²,"Lägenhet, Vasastan",+5.7 %
Idungatan 3,5700000,"4 rum, 79 m²",2021-02-02,72 200 kr/m²,"Lägenhet, Vasastan",-4.9 %
Rådmansgatan 37,3175000,"1 rum, 26 m²",2021-02-02,122 100 kr/m²,"Lägenhet, City",+22.4 %
Döbelnsgatan 29A,6050000,"3 rum, 57 m²",2021-02-02,106 100 kr/m²,"Lägenhet, Vasastan",+11.0 %
Vanadisvägen 2,6600000,"3 rum, 66 m²",2021-02-02,100 000 kr/m²,"Lägenhet, Vasastan",—
Frejgatan 89,2610000,"1 rum, 17 m²",2021-02-02,153 500 kr/m²,"Lägenhet, Vasastan",+22.8 %
Karlbergsvägen 12,11000000,"2 rum, 76 m²",2021-02-01,144 700 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Kungstensgatan 28C,7050000,"2 rum, 64 m²",2021-02-01,110 200 kr/m²,"Lägenhet, Vasastan",+11.0 %
Birger Jarlsgatan 111B,6825000,"3 rum, 68 m²",2021-02-01,100 400 kr/m²,"Lägenhet, Vasastan",+13.8 %
Roslagsgatan 47,2950000,"1 rum, 28 m²",2021-02-01,105 400 kr/m²,"Lägenhet, Vasastan",+5.5 %
Vidargatan 4,26000000,"6 rum, 185 m²",2021-02-01,140 500 kr/m²,"Lägenhet, Vasastan",+23.8 %
Torsgatan 49,6050000,"2 rum, 46 m²",2021-02-01,131 500 kr/m²,"Lägenhet, Vasastan",+22.2 %
Tomtebogatan 46,8550000,"3 rum, 83 m²",2021-02-01,103 000 kr/m²,"Lägenhet, Vasastan",+8.9 %
Torsplan 10,8400000,"3 rum, 76 m²",2021-02-01,110 500 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Västmannagatan 71C,6250000,"2 rum, 51 m²",2021-02-01,122 500 kr/m²,"Lägenhet, Vasastan - Odenplan",+8.7 %
Dalagatan 90,5225000,"3 rum, 64 m²",2021-02-01,81 600 kr/m²,"Lägenhet, Vasastan",-1.3 %
Västmannagatan 101,8000000,"3 rum, 83 m²",2021-02-01,96 400 kr/m²,"Lägenhet, Vasastan",+6.7 %
Birger Jarlsgatan 107B,6550000,"2 rum, 57 m²",2021-01-31,114 900 kr/m²,"Lägenhet, Vasastan",+17.1 %
Sonja Kovalevskys gata 11,6000000,"2 rum, 63 m²",2021-01-31,95 200 kr/m²,"Lägenhet, Vasastan Hagastaden",+3.5 %
Nina Einhorns gata 10,3825000,"2 rum, 41 m²",2021-01-31,93 300 kr/m²,"Lägenhet, Vasastan",+9.4 %
Karlbergsvägen 78,13700000,"4 rum, 106 m²",2021-01-30,129 200 kr/m²,"Lägenhet, Vasastan",+29.9 %
Rödabergsgatan 10,4525000,"2 rum, 42 m²",2021-01-30,107 700 kr/m²,"Lägenhet, Röda",+13.3 %
Valhallavägen 14,5500000,"3 rum, 63 m²",2021-01-30,87 000 kr/m²,"Lägenhet, Östermalm",+14.7 %
Frejgatan 17,6600000,"3 rum, 56 m²",2021-01-29,117 900 kr/m²,"Lägenhet, Vasastan - Sibirien",—
Torsgatan 42,5250000,"2 rum, 46 m²",2021-01-29,114 100 kr/m²,"Lägenhet, Vasastan",+19.3 %
Dalagatan 70,5350000,"2 rum, 47 m²",2021-01-29,113 800 kr/m²,"Lägenhet, Vasastan",+14.0 %
Birger Jarlsgatan 109D,6550000,"2 rum, 55 m²",2021-01-29,119 100 kr/m²,"Lägenhet, Vasastan - Sibirien",+20.2 %
Dalagatan 90,6150000,"2½ rum, 74 m²",2021-01-29,83 100 kr/m²,"Lägenhet, Vasastan",+3.4 %
Hagagatan 17H,7500000,"3 rum, 78 m²",2021-01-29,96 200 kr/m²,"Lägenhet, Vasastan - Odenplan",+7.2 %
Vikingagatan 16,12800000,"3 rum, 115 m²",2021-01-29,111 300 kr/m²,"Lägenhet, Vasastan - Birkastan",+2.4 %
Luntmakargatan 74,2700000,"1 rum, 21 m²",2021-01-29,128 600 kr/m²,"Lägenhet, Vasastan",+14.9 %
Tegnérlunden 10,6700000,"2 rum, 78 m²",2021-01-29,85 900 kr/m²,"Lägenhet, Vasastan",+3.2 %
Holländargatan 26B,11450000,"4 rum, 96 m²",2021-01-29,119 300 kr/m²,"Lägenhet, Vasastan",+6.5 %
Odengatan 30,5070000,"2 rum, 43 m²",2021-01-29,117 900 kr/m²,"Lägenhet, Vasastan",+15.4 %
Atlasgatan 7,3050000,"1 rum, 27 m²",2021-01-29,113 000 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Odengatan 6,5400000,"2 rum, 50 m²",2021-01-29,108 000 kr/m²,"Lägenhet, Östermalm",+10.3 %
Döbelnsgatan 57,6900000,"2½ rum, 59 m²",2021-01-28,116 900 kr/m²,"Lägenhet, Vasastan",—
Dalagatan 90,5000000,"2 rum, 52 m²",2021-01-28,96 200 kr/m²,"Lägenhet, Vasastan",+0.1 %
Gävlegatan 36B,4100000,"2 rum, 32 m²",2021-01-28,128 100 kr/m²,"Lägenhet, Hagastaden Vasastan",+/-0.0 %
Gästrikegatan 11,6550000,"2 rum, 50 m²",2021-01-28,131 000 kr/m²,"Lägenhet, Vasastan - Vasaparken",+23.7 %
Frejgatan 25,8100000,"3 rum, 72 m²",2021-01-28,112 500 kr/m²,"Lägenhet, Vasastan",+28.7 %
Upplandsgatan 45,7350000,"2 rum, 49 m²",2021-01-28,150 000 kr/m²,"Lägenhet, Vind",+26.8 %
Hagagatan 30,7000000,"3 rum, 71 m²",2021-01-28,98 600 kr/m²,"Lägenhet, Vasastan",+0.7 %
Karlbergsvägen 83B,6560000,"3 rum, 88 m²",2021-01-28,74 500 kr/m²,"Lägenhet, Vasastan",+10.3 %
Dalagatan 40A,3400000,"1 rum, 33 m²",2021-01-28,103 000 kr/m²,"Lägenhet, Vasastan",+13.5 %
Völundsgatan 10,3300000,"1½ rum, 29 m²",2021-01-28,113 800 kr/m²,"Lägenhet, Vasastan",+16.0 %
Norrbackagatan 5,2375000,"1 rum, 23½ m²",2021-01-28,100 600 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Observatoriegatan 14,7700000,"2 rum, 69 m²",2021-01-28,111 600 kr/m²,"Lägenhet, Vasastan",+10.1 %
Völundsgatan 1,7400000,"3 rum, 66 m²",2021-01-28,112 100 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
Bråvallagatan 3,4200000,"1½ rum, 42 m²",2021-01-28,100 000 kr/m²,"Lägenhet, Vasastan",+8.0 %
Döbelnsgatan 57,6900000,"2½ rum, 59 m²",2021-01-28,116 900 kr/m²,"Lägenhet, Vasastan",+3.0 %
Sonja Kovalevskys gata 8,4550000,"2 rum, 49½ m²",2021-01-28,91 900 kr/m²,"Lägenhet, Vasastan",+8.5 %
Torsplan 8,11300000,"4 rum, 90 m²",2021-01-27,125 600 kr/m²,"Lägenhet, Vasastan",+/-0.0 %
